fips2010,State,County,cbsasub,areaname,lim50_19p1,lim50_19p2,lim50_19p3,lim50_19p4,lim50_19p5,lim50_19p6,lim50_19p7,lim50_19p8,lim120_19p1,lim120_19p2,lim120_19p3,lim120_19p4,lim120_19p5,lim120_19p6,lim120_19p7,lim120_19p8,fips2000,name
2610399999,26,103,NCNTY26103N26103,"Marquette County, MI",24250,27700,31150,34600,37400,40150,42950,45700,58150,66450,74750,83050,89700,96350,102950,109600,2610399999,Marquette County
2610599999,26,105,NCNTY26105N26105,"Mason County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2610599999,Mason County
2610799999,26,107,NCNTY26107N26107,"Mecosta County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2610799999,Mecosta County
2610999999,26,109,NCNTY26109N26109,"Menominee County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2610999999,Menominee County
2611199999,26,111,METRO33220M33220,"Midland, MI MSA",26150,29850,33600,37300,40300,43300,46300,49250,62650,71600,80550,89500,96700,103850,111000,118150,2611199999,Midland County
2611399999,26,113,NCNTY26113N26113,"Missaukee County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2611399999,Missaukee County
2611599999,26,115,METRO33780M33780,"Monroe, MI MSA",27650,31600,35550,39500,42700,45850,49000,52150,66350,75850,85300,94800,102400,109950,117550,125150,2611599999,Monroe County
2611799999,26,117,METRO24340N26117,"Montcalm County, MI HUD Metro FMR Area",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2611799999,Montcalm County
2611999999,26,119,NCNTY26119N26119,"Montmorency County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2611999999,Montmorency County
2612199999,26,121,METRO34740M34740,"Muskegon, MI MSA",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2612199999,Muskegon County
2612399999,26,123,NCNTY26123N26123,"Newaygo County, MI",21400,24450,27500,30550,33000,35450,37900,40350,51300,58650,66000,73300,79200,85050,90900,96800,2612399999,Newaygo County
2612599999,26,125,METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",26750,30550,34350,38150,41250,44300,47350,50400,64100,73250,82400,91550,98900,106200,113550,120850,2612599999,Oakland County
